       0.0000000       2.8965087     0.082500003
       1.5000000       2.8854880     0.082500003
       3.0000000       2.8263755     0.082500003
       4.5000000       2.7392240     0.082500003
       6.0000000       2.6196737     0.082500003
       7.5000000       2.4795408     0.082500003
       9.0000000       2.3208127     0.082500003
       10.500000       2.1531398     0.082500003
       12.000000       1.9809045     0.082500003
       13.500000       1.8107071     0.082500003
       15.000000       1.6466210     0.082500003
       16.500000       1.4920499     0.079785531
       18.000000       1.3494717     0.073136737
       19.500000       1.2198801     0.067510834
       21.000000       1.1042335     0.062688632
       22.500000       1.0020801     0.058509389
       24.000000      0.91339207     0.054852553
       25.500000      0.83715475     0.051625932
       27.000000      0.77324688     0.048757825
       28.500000      0.72091281     0.046191623
       30.000000      0.67996252     0.043882042
       31.500000      0.65024459     0.041792421
       33.000000      0.63161516     0.039892766
       34.500000      0.62410486     0.038158297
       36.000000      0.62733018     0.036568368
       37.500000      0.64109635     0.035105634
       39.000000      0.66448563     0.033755417
       40.500000      0.69675189     0.032505216
       42.000000      0.73617798     0.031344316
       43.500000      0.78122979     0.030263477
       45.000000      0.82963479     0.029254695
       46.500000      0.87910843     0.028310995
       48.000000      0.92715460     0.027426276
       49.500000      0.97112465     0.026595177
       51.000000       1.0090007     0.025812966
       52.500000       1.0380038     0.025075453
       54.000000       1.0568635     0.024378912
       55.500000       1.0635003     0.023720023
       57.000000       1.0579864     0.023095812
       58.500000       1.0392811     0.022503611
       60.000000       1.0084317     0.021941021
       61.500000      0.96589947     0.021405874
       63.000000      0.91373920     0.020896211
       64.500000      0.85336602     0.020410252
       66.000000      0.78720087     0.019946383
       67.500000      0.71720046     0.019503130
       69.000000      0.64575809     0.019079149
       70.500000      0.57466680     0.018673209
       72.000000      0.50567842     0.018284184
       73.500000      0.44032860     0.017911038
       75.000000      0.37940839     0.017552817
       76.500000      0.32386410     0.017208644
       78.000000      0.27377900     0.016877708
       79.500000      0.22952035     0.016559261
